,IDN,MYS,CHL,BOL,PER,ARG,GBR,CYP,IND,CH1,ISR,LBN,ETH,SDS,SOM,KEN,MWI,TZA,SYR,SOL,FRA,SUR,GUY,KOR,PRK,MAR,SAH,CRI,NIC,COG,COD,BTN,UKR,BLR,NAM,ZAF,NLD,OMN,UZB,KA1,TJK,LTU,BRA,URY,MNG,RUS,CZE,DEU,EST,LVA,NOR,SWE,FIN,VNM,KHM,LUX,ARE,BEL,GEO,MKD,ALB,AZE,KOS,TUR,ESP,LAO,KGZ,ARM,DNK,LBY,TUN,ROU,HUN,SVK,POL,IRL,GRC,ZMB,SLE,GIN,LBR,CAF,SDN,DJI,ERI,AUT,IRQ,ITA,CHE,IRN,LIE,CIV,SRB,MLI,SEN,NGA,BEN,AGO,HRV,SVN,QAT,SAU,BWA,ZWE,PAK,BGR,THA,SMR,HTI,DOM,TCD,KWT,SLV,GTM,TLS,BRN,MCO,DZA,MOZ,SWZ,BDI,RWA,MMR,BGD,AND,AFG,MNE,BIH,UGA,CUB,HND,ECU,COL,PRY,BRI,PRT,MDA,TKM,JOR,NPL,LSO,CMR,GAB,NER,BFA,TGO,GHA,GNB,USA,CAN,MEX,BLZ,PAN,VEN,PNG,EGY,YEM,MRT,GNQ,GMB,VAT,CYN,CNM,KAS,SPI,BRT,ATA,AUS,FJI,NZL,MDG,PHL,LKA,BHS,TWN,JPN,ISL,SYC,KIR,MHL,TTO,GRD,VCT,BRB,LCA,DMA,ATG,KNA,JAM,MUS,COM,STP,CPV,MLT,SGP,TON,WSM,SLB,TUV,MDV,NRU,FSM,VUT,PLW,BHR,PGA,BJN,SER,SCR
2020-10-31,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157,278.70157
2020-11-30,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748,278.35748
2020-12-31,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362,277.52362
2021-01-31,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314,276.75314
2021-02-28,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677,276.46677
2021-03-31,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926,276.04926
2021-04-30,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175,276.98175
2021-05-31,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193,278.5193
2021-06-30,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587,280.2587
2021-07-31,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645,280.82645
